数据唯一ID,用户ID,记录分组ID,上传时间,数据时间,心率(beats/min),心率单位,心率.测量开始时间,心率.测量结束时间,心率.测量时间,心率.统计描述,心率.身体活动状态,心率.睡眠状态,心率.用户备注,外部ID,元数据版本
57145899b95b4ead8ef8a09497a445fe,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,116,beats/min,,,2025-04-06 08:43:54, , , , ,1,1
df2e66c4f24e4540bf8064a0660980c6,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,115,beats/min,,,2025-04-06 08:43:49, , , , ,1,1
ba2f7e1f8c094982a19294fd64c73373,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,120,beats/min,,,2025-04-06 08:43:44, , , , ,1,1
e5354214421a4b65bfe5aa107c0d55e5,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,117,beats/min,,,2025-04-06 08:43:39, , , , ,1,1
12dc525a96a2455999e21199ef9e4445,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,94,beats/min,,,2025-04-06 08:43:34, , , , ,1,1
61b00f4a77634bbdbc081188f713efa6,ff204ebb74b94e37bb0debe1fcf2807d,382580bc13414ad9a8ee5870c6ee1905,2025-04-05 11:37:01,2025-04-05 11:36:27,150,beats/min,,,2025-04-05 11:36:54, , , , ,1,1
45a9a90efa3949e89a3a82f7902bc9da,ff204ebb74b94e37bb0debe1fcf2807d,382580bc13414ad9a8ee5870c6ee1905,2025-04-05 11:37:01,2025-04-05 11:36:27,148,beats/min,,,2025-04-05 11:36:44, , , , ,1,1
14923f015b19488296093f068b1feb71,ff204ebb74b94e37bb0debe1fcf2807d,382580bc13414ad9a8ee5870c6ee1905,2025-04-05 11:37:01,2025-04-05 11:36:27,149,beats/min,,,2025-04-05 11:36:49, , , , ,1,1
88d75d338f1644ad94b0fa8c03f4bf05,ff204ebb74b94e37bb0debe1fcf2807d,382580bc13414ad9a8ee5870c6ee1905,2025-04-05 11:37:01,2025-04-05 11:36:27,146,beats/min,,,2025-04-05 11:36:39, , , , ,1,1
3ec8fd62d04346e4a7410b600a8ab5b4,ff204ebb74b94e37bb0debe1fcf2807d,382580bc13414ad9a8ee5870c6ee1905,2025-04-05 11:37:01,2025-04-05 11:36:27,105,beats/min,,,2025-04-05 11:36:34, , , , ,1,1
